stratum,metric,mean_difference,ci95_low,ci95_high,probability_difference_gt_zero,replicates
strict_id,macro_f1,0.026306213120420335,-0.02357954751238704,0.06968768457480058,0.8772,5000
strict_id,balanced_accuracy,-0.0005031928591033136,-0.05347940267302235,0.04931072821254695,0.4956,5000
strict_id,mcc,0.06608259028846085,0.004681278753519843,0.1254856964085364,0.9838,5000
strict_id,worst_class_recall,-0.024648548865743646,-0.19730869215602034,0.12189257347348466,0.3534,5000
strict_id,mel_precision,0.11931322062318836,-0.005493866854887643,0.23180760622036622,0.9704,5000
strict_id,mel_recall,-0.07647258223894525,-0.19390522875816996,0.022882625272331047,0.067,5000
strict_id,mel_f1,0.05534387862572782,-0.026859434164002383,0.135627186769144,0.9168,5000
aid_radial,macro_f1,0.0024843196482440435,-0.04067497332319965,0.0474495412864039,0.5508,5000
aid_radial,balanced_accuracy,0.01060048163664045,-0.02924589882479854,0.05786992775692843,0.6742,5000
aid_radial,mcc,0.016661217925195506,-0.022883635890626912,0.05668584994166694,0.8062,5000
aid_radial,worst_class_recall,0.03955345440964226,-0.0882167766096337,0.23530454735085504,0.674,5000
aid_radial,mel_precision,0.06141657652934123,-0.003478655807363003,0.14315254730990506,0.9668,5000
aid_radial,mel_recall,0.019639823858858627,-0.06521865815344072,0.1007787497333049,0.6822,5000
aid_radial,mel_f1,0.04387312786223043,-0.014306302315792918,0.10980644140435838,0.9276,5000
ood_far,macro_f1,-0.02407297924080114,-0.05716582315971945,0.006926927076524897,0.0628,5000
ood_far,balanced_accuracy,-0.02757697223944765,-0.07570289247100513,0.02336458063307446,0.1358,5000
ood_far,mcc,-0.028241133204652148,-0.06652314512663207,0.00772769892188311,0.0592,5000
ood_far,worst_class_recall,-0.03986696156075933,-0.19528724216959517,0.0969325161652471,0.2734,5000
ood_far,mel_precision,-0.04695742682856152,-0.1247680180548266,0.03022215666789451,0.1042,5000
ood_far,mel_recall,-0.00513584507593362,-0.11338238193828255,0.09482817026446128,0.4636,5000
ood_far,mel_f1,-0.02985069589867427,-0.09666128124297704,0.042256159991702416,0.1768,5000
random_remaining,macro_f1,-0.019437502256623072,-0.062008269504219005,0.01673218461607347,0.1454,5000
random_remaining,balanced_accuracy,-0.021454570137983485,-0.074230167439157,0.018202273556512934,0.1706,5000
random_remaining,mcc,-0.048759536577394486,-0.08563822989426512,-0.013096549033703645,0.0046,5000
random_remaining,worst_class_recall,-0.00010760206426053616,-0.17650326797385624,0.16666985358391603,0.4776,5000
random_remaining,mel_precision,-0.08640174343914718,-0.13495317040870683,-0.04017808994677798,0.0002,5000
random_remaining,mel_recall,0.026431051095643535,-0.1144317475124378,0.14814814814814814,0.6802,5000
random_remaining,mel_f1,-0.0688245783375895,-0.11190841138638476,-0.023407210403641788,0.0016,5000
