stratum,metric,mean_difference_synthetic_minus_replay,sd_difference,ci95_low_seed_t,ci95_high_seed_t,synthetic_wins,exact_sign_flip_p_two_sided,differences_by_seed
strict_id,macro_f1,0.02607310032938966,0.027888629222762966,-0.04320609525189813,0.09535229591067744,2,0.5,"{""42"": -0.002778693475528171, ""43"": 0.052886738575758985, ""44"": 0.02811125588793817}"
strict_id,balanced_accuracy,-0.0008341063080716434,0.036621278766614467,-0.09180640594474025,0.09013819332859697,2,1.0,"{""42"": -0.043120699579311084, ""43"": 0.020342063366095453, ""44"": 0.0202763172890007}"
strict_id,mcc,0.06621717256425086,0.05479428609905635,-0.06989937992285189,0.2023337250513536,3,0.25,"{""42"": 0.010964272986087154, ""43"": 0.12054103056572774, ""44"": 0.06714621414093769}"
strict_id,ece,-0.011425773851562423,0.0234891301705099,-0.06977600792433852,0.046924460221213674,1,0.5,"{""42"": 0.01460864632812503, ""43"": -0.01785542289062489, ""44"": -0.03103054499218741}"
strict_id,worst_class_recall,-0.00014568764568767545,0.10883510713878568,-0.2705070816515327,0.27021570636015735,1,1.0,"{""42"": -0.013986013986014068, ""43"": 0.11494755244755239, ""44"": -0.10139860139860135}"
strict_id,auroc_ovr_macro,0.004039227229193772,0.005804893302580959,-0.010380927136434508,0.018459381594822053,2,0.5,"{""42"": 0.004333787720256499, ""43"": -0.0019073384759591416, ""44"": 0.00969123244328396}"
strict_id,auprc_ovr_macro,0.017352383275639188,0.005450984077553072,0.0038113881624390143,0.030893378388839363,3,0.25,"{""42"": 0.01126860798518503, ""43"": 0.02179212144047904, ""44"": 0.01899642040125349}"
strict_id,mel_precision,0.12028926412449588,0.11370697445968436,-0.16217451921983767,0.4027530474688294,2,0.5,"{""42"": -0.010204081632653073, ""43"": 0.19810140856621494, ""44"": 0.17297046543992578}"
strict_id,mel_recall,-0.07692307692307694,0.0914454323819722,-0.3040861240704489,0.15023997022429503,0,0.25,"{""42"": -0.013986013986014068, ""43"": -0.18181818181818188, ""44"": -0.03496503496503489}"
strict_id,mel_f1,0.05584214131386833,0.058650632485135454,-0.08985410666046564,0.2015383892882023,2,0.5,"{""42"": -0.01179941002949858, ""43"": 0.08677118916236032, ""44"": 0.09255464480874326}"
strict_id,mel_auroc,0.00018143685689871644,0.03386226134184611,-0.08393708354752655,0.08429995726132397,2,1.0,"{""42"": 0.01713501977354215, ""43"": -0.03880903617051357, ""44"": 0.022218326967667568}"
strict_id,mel_auprc,0.03571873376394082,0.039300200434399,-0.06190837621449644,0.1333458437423781,2,0.5,"{""42"": 0.056406309518324926, ""43"": -0.009603960774822284, ""44"": 0.06035385254831982}"
aid_radial,macro_f1,0.0016128297856734901,0.01784798541635959,-0.04272402386587528,0.045949683437222257,1,1.0,"{""42"": -0.013702021215702964, ""43"": 0.02121354158146549, ""44"": -0.002673031008742055}"
aid_radial,balanced_accuracy,0.010702736170025965,0.015519039642936617,-0.02784869545714127,0.049254167797193195,2,0.5,"{""42"": 0.028419479571014983, ""43"": 0.004174245128851228, ""44"": -0.00048551618978831534}"
aid_radial,mcc,0.016349141349259428,0.02215443191917097,-0.038685518463558416,0.07138380116207728,2,0.5,"{""42"": -0.006449626996262503, ""43"": 0.037797454574740486, ""44"": 0.017699596469300305}"
aid_radial,ece,-0.007645741294270804,0.027085606229233262,-0.0749301171739288,0.0596386345853872,1,0.75,"{""42"": 0.023581678078125112, ""43"": -0.024764865976562495, ""44"": -0.02175403598437503}"
aid_radial,worst_class_recall,0.04778554778554781,0.0774247257820157,-0.14454813335148547,0.24011922892258108,2,0.5,"{""42"": 0.13636363636363635, ""43"": 0.013986013986014068, ""44"": -0.006993006993006978}"
aid_radial,auroc_ovr_macro,0.0009845780846611252,0.008687735042186555,-0.020596952163329338,0.022566108332651588,1,1.0,"{""42"": -0.0059822127159760985, ""43"": 0.010718942179378521, ""44"": -0.001782995209419047}"
aid_radial,auprc_ovr_macro,-0.002413945434559158,0.01777049352043699,-0.046558298545091574,0.041730407675973254,1,0.75,"{""42"": -0.01926726517304178, ""43"": 0.01615000452149762, ""44"": -0.004124575652133311}"
aid_radial,mel_precision,0.06209032381899893,0.05442064255976981,-0.07309804666141029,0.19727869429940814,3,0.25,"{""42"": 0.0381368706662647, ""43"": 0.02375521880315451, ""44"": 0.12437888198757757}"
aid_radial,mel_recall,0.018648018648018683,0.02826190128900265,-0.051558436149758066,0.08885447344579543,2,0.5,"{""42"": 0.04895104895104896, ""43"": 0.013986013986014068, ""44"": -0.006993006993006978}"
aid_radial,mel_f1,0.043789406300006196,0.022046214713787208,-0.010976427071857621,0.09855523967187002,3,0.25,"{""42"": 0.04313725490196085, ""43"": 0.02207650273224049, ""44"": 0.06615446126581725}"
aid_radial,mel_auroc,0.01730108062561882,0.009073364160016938,-0.005238405456723112,0.03984056670796075,3,0.25,"{""42"": 0.012371533479712982, ""43"": 0.011759568487800576, ""44"": 0.027772139909342908}"
aid_radial,mel_auprc,0.01571801036744049,0.01753702710109187,-0.0278463800063694,0.05928240074125038,2,0.5,"{""42"": -0.0014161969568647903, ""43"": 0.014938375343279964, ""44"": 0.033631852715906296}"
ood_far,macro_f1,-0.023286522024348777,0.0067756757778218305,-0.040118233746629234,-0.006454810302068317,0,0.25,"{""42"": -0.030596000442861926, ""43"": -0.017215499267341783, ""44"": -0.022048066362842622}"
