stratum,metric,mean_difference_synthetic_minus_replay,sd_difference,ci95_low_seed_t,ci95_high_seed_t,synthetic_wins,exact_sign_flip_p_two_sided,differences_by_seed
vae_roundtrip,macro_f1,-0.005594062302166562,0.017066403643701746,-0.0479893591974393,0.036801234593106184,1,0.75,"{""42"": -0.012758183080353147, ""43"": -0.01791070196799671, ""44"": 0.013886698141850173}"
vae_roundtrip,balanced_accuracy,-0.004922557292383704,0.0037722325395526035,-0.014293302401378046,0.004448187816610637,0,0.25,"{""42"": -0.0005841269693073192, ""43"": -0.007428306376904392, ""44"": -0.0067552385309394}"
vae_roundtrip,mcc,-0.018457046148505962,0.030476452239651612,-0.09416475047738233,0.05725065818037041,1,0.5,"{""42"": -0.03878225723137174, ""43"": -0.03317371887119236, ""44"": 0.016584837657046214}"
vae_roundtrip,ece,0.016175320085937472,0.04379119502443367,-0.09260803891687162,0.12495867908874657,1,1.0,"{""42"": -0.012891625664062517, ""43"": -0.005124198265624991, ""44"": 0.06654178418749992}"
vae_roundtrip,worst_class_recall,0.0,0.0625,-0.15525860698439564,0.15525860698439564,1,1.0,"{""42"": 0.0625, ""43"": -0.0625, ""44"": 0.0}"
vae_roundtrip,auroc_ovr_macro,-0.004427856572874774,0.002473215469815174,-0.010571664390726957,0.0017159512449774102,0,0.25,"{""42"": -0.00648512886779351, ""43"": -0.0016838435605390778, ""44"": -0.005114597290291734}"
vae_roundtrip,auprc_ovr_macro,-0.006664073718664065,0.0033262213425530474,-0.014926865593328904,0.0015987181560007738,0,0.25,"{""42"": -0.0028444613118652207, ""43"": -0.008225068775414401, ""44"": -0.008922691068712574}"
vae_roundtrip,mel_precision,-0.030464936851876418,0.038973907477527894,-0.12728149019107166,0.06635161648731881,1,0.5,"{""42"": -0.07115132441646999, ""43"": -0.02677793904208997, ""44"": 0.006534452902930699}"
vae_roundtrip,mel_recall,0.01631701631701632,0.04495874480649391,-0.0953666971297545,0.12800072976378712,2,0.75,"{""42"": 0.03496503496503489, ""43"": -0.03496503496503489, ""44"": 0.04895104895104896}"
vae_roundtrip,mel_f1,-0.02207571192571341,0.03677157348922568,-0.11342136435069759,0.06926994049927078,1,0.5,"{""42"": -0.0534681670894408, ""43"": -0.031139006471074815, ""44"": 0.01838003778337538}"
vae_roundtrip,mel_auroc,-0.0055743142814382125,0.019309388716916318,-0.053541494983976354,0.042392866421099934,1,0.75,"{""42"": -0.022977901605869877, ""43"": -0.008942684404425805, ""44"": 0.015197643165981045}"
vae_roundtrip,mel_auprc,-0.017952445014682666,0.02636958503539989,-0.0834581256443267,0.04755323561496136,1,0.5,"{""42"": 0.006758633016834215, ""43"": -0.014900940776480964, ""44"": -0.045715027284401244}"
