experiment,method,seed,minimum_calibration_specificity,threshold,calibration_specificity,evaluation_specificity,evaluation_sensitivity,evaluation_precision
stage8_real_ce_natural_384,Real CE natural,42,0.9,0.38169240584528236,0.903169014084507,0.9173989455184535,0.5,0.43373493975903615
stage8_real_ce_natural_384,Real CE natural,42,0.95,0.5435069583194373,0.9524647887323944,0.9666080843585237,0.4166666666666667,0.6122448979591837
stage8_real_ce_natural_384,Real CE natural,43,0.9,0.15984576693429015,0.9190140845070423,0.8963093145869947,0.5138888888888888,0.3854166666666667
stage8_real_ce_natural_384,Real CE natural,43,0.95,0.27401166329994764,0.9507042253521126,0.9332161687170475,0.4583333333333333,0.4647887323943662
stage8_real_ce_natural_384,Real CE natural,44,0.9,0.0822353279548658,0.9066901408450704,0.8576449912126538,0.5277777777777778,0.31932773109243695
stage8_real_ce_natural_384,Real CE natural,44,0.95,0.22681476284813823,0.954225352112676,0.9437609841827768,0.4583333333333333,0.5076923076923077
stage8_real_ce_weighted_384,Real CE oversampling,42,0.9,0.3906653101519058,0.903169014084507,0.8822495606326889,0.5972222222222222,0.39090909090909093
stage8_real_ce_weighted_384,Real CE oversampling,42,0.95,0.7326898017524454,0.9524647887323944,0.9367311072056239,0.4444444444444444,0.47058823529411764
stage8_real_ce_weighted_384,Real CE oversampling,43,0.9,0.4072518805915628,0.9084507042253521,0.8963093145869947,0.6666666666666666,0.4485981308411215
stage8_real_ce_weighted_384,Real CE oversampling,43,0.95,0.6394291135119258,0.954225352112676,0.9507908611599297,0.4861111111111111,0.5555555555555556
stage8_real_ce_weighted_384,Real CE oversampling,44,0.9,0.5625205106815275,0.9084507042253521,0.8927943760984183,0.5833333333333334,0.4077669902912621
stage8_real_ce_weighted_384,Real CE oversampling,44,0.95,0.7418708777553333,0.954225352112676,0.9384885764499121,0.5,0.5070422535211268
stage8_real_logit_adjust_natural_384,Real Logit Adjustment,42,0.9,0.4443457309873892,0.9014084507042254,0.8910369068541301,0.6388888888888888,0.42592592592592593
stage8_real_logit_adjust_natural_384,Real Logit Adjustment,42,0.95,0.7501162783876445,0.9595070422535211,0.9560632688927944,0.5138888888888888,0.5967741935483871
stage8_real_logit_adjust_natural_384,Real Logit Adjustment,43,0.9,0.4486673534706401,0.9014084507042254,0.8611599297012302,0.5972222222222222,0.3524590163934426
stage8_real_logit_adjust_natural_384,Real Logit Adjustment,43,0.95,0.7658858259788334,0.9595070422535211,0.9279437609841827,0.4027777777777778,0.4142857142857143
stage8_real_logit_adjust_natural_384,Real Logit Adjustment,44,0.9,0.25641885049806273,0.9119718309859155,0.8963093145869947,0.4861111111111111,0.3723404255319149
stage8_real_logit_adjust_natural_384,Real Logit Adjustment,44,0.95,0.4924970657303955,0.9507042253521126,0.9507908611599297,0.3472222222222222,0.4716981132075472
stage8_synthetic_dino_384,Synthetic + DINO,42,0.9,0.600839358709346,0.9066901408450704,0.8840070298769771,0.5416666666666666,0.37142857142857144
stage8_synthetic_dino_384,Synthetic + DINO,42,0.95,0.8086991845265603,0.9595070422535211,0.9666080843585237,0.4305555555555556,0.62
stage8_synthetic_dino_384,Synthetic + DINO,43,0.9,0.6374641034059962,0.9119718309859155,0.8945518453427065,0.5555555555555556,0.4
stage8_synthetic_dino_384,Synthetic + DINO,43,0.95,0.789927753131602,0.9559859154929577,0.9420035149384886,0.3888888888888889,0.45901639344262296
