method,baseline,metric,mean_difference,ci95_low_hierarchical_bootstrap,ci95_high_hierarchical_bootstrap,probability_difference_gt_zero,replicates
Synthetic + DINO,Source-matched replay,macro_f1,-0.0005594707638672948,-0.053622305957127366,0.051795128136903325,0.4916,5000
Synthetic + DINO,Source-matched replay,balanced_accuracy,0.0027951954701226234,-0.03084100504472952,0.04058570686242541,0.5488,5000
Synthetic + DINO,Source-matched replay,mcc,-0.005433334448001211,-0.0762324235439724,0.058571115586911825,0.442,5000
Synthetic + DINO,Source-matched replay,mel_precision,-0.01641545258743356,-0.10039237696114821,0.0590095323086359,0.3432,5000
Synthetic + DINO,Source-matched replay,mel_recall,0.04247678277020858,-0.09686761229314426,0.1925970548862115,0.7136,5000
Synthetic + DINO,Source-matched replay,mel_f1,-0.0052965066664543555,-0.058613521438985974,0.04521500529204786,0.4172,5000
Synthetic + DINO,Real CE oversampling,macro_f1,-0.030582423540006523,-0.07113900132004901,0.009666509290762178,0.0606,5000
Synthetic + DINO,Real CE oversampling,balanced_accuracy,-0.018093322337196963,-0.05268716452401509,0.015276151374767025,0.133,5000
Synthetic + DINO,Real CE oversampling,mcc,-0.04527193222551255,-0.0954830035675352,0.008851209674605839,0.0466,5000
Synthetic + DINO,Real CE oversampling,mel_precision,-0.06257494051547685,-0.17346678720866457,0.0680115878878722,0.166,5000
Synthetic + DINO,Real CE oversampling,mel_recall,-0.01811080308933071,-0.15493564837299667,0.09884102654451489,0.405,5000
Synthetic + DINO,Real CE oversampling,mel_f1,-0.057960386124077924,-0.1291551366930754,0.019010826123361996,0.0576,5000
Synthetic + DINO,Real CE undersampling,macro_f1,0.13080286194540158,0.07152915584363512,0.19048744181618843,0.9998,5000
Synthetic + DINO,Real CE undersampling,balanced_accuracy,0.06735728373067734,0.019445246873070948,0.11283217558703791,0.994,5000
Synthetic + DINO,Real CE undersampling,mcc,0.145168781454601,0.09844721337303511,0.19170967553376286,1.0,5000
Synthetic + DINO,Real CE undersampling,mel_precision,0.116433836629998,0.06461556417751375,0.17623139343694794,1.0,5000
Synthetic + DINO,Real CE undersampling,mel_recall,-0.042527857655549665,-0.1879223312109218,0.10619786898586105,0.287,5000
Synthetic + DINO,Real CE undersampling,mel_f1,0.0930331494215271,0.028099931549749945,0.15119918433472315,0.9966,5000
Synthetic + DINO,Real Balanced Softmax,macro_f1,-0.012097944650704476,-0.05427769068653462,0.028018818827712025,0.2606,5000
Synthetic + DINO,Real Balanced Softmax,balanced_accuracy,-0.007895405358145514,-0.05106961138575615,0.0326938827241114,0.3304,5000
Synthetic + DINO,Real Balanced Softmax,mcc,-0.032221072005668615,-0.06631527839370036,0.0023705935736068984,0.0322,5000
Synthetic + DINO,Real Balanced Softmax,mel_precision,-0.03555403557940114,-0.10816216560492951,0.039351849433600275,0.1576,5000
Synthetic + DINO,Real Balanced Softmax,mel_recall,-0.008569746602080668,-0.11111111111111112,0.11300282485875694,0.416,5000
Synthetic + DINO,Real Balanced Softmax,mel_f1,-0.03574337479487646,-0.09111991311735683,0.0177725544953391,0.0904,5000
Source-matched replay,Real CE oversampling,macro_f1,-0.029490818902500784,-0.07185129998949392,0.01279846152302865,0.078,5000
Source-matched replay,Real CE oversampling,balanced_accuracy,-0.02047670366714261,-0.05272397821122422,0.017739036377520168,0.108,5000
Source-matched replay,Real CE oversampling,mcc,-0.0396982161782678,-0.11639317981071298,0.02361488662024534,0.1554,5000
Source-matched replay,Real CE oversampling,mel_precision,-0.04578658729730137,-0.1414188937553478,0.04052194445073526,0.1656,5000
Source-matched replay,Real CE oversampling,mel_recall,-0.060429854125040025,-0.13542108050847457,0.018695997178628045,0.0548,5000
Source-matched replay,Real CE oversampling,mel_f1,-0.052350139824836855,-0.12599645230091983,0.024811352063519625,0.0834,5000
cRT classifier retraining,Real CE oversampling,macro_f1,-0.03757227908695534,-0.08815274178811185,0.011293889989726134,0.0624,5000
cRT classifier retraining,Real CE oversampling,balanced_accuracy,-0.02201460005935707,-0.07093240231738425,0.022941416761842155,0.1648,5000
cRT classifier retraining,Real CE oversampling,mcc,-0.02298364919492491,-0.07570256307905458,0.03367025430181049,0.2136,5000
cRT classifier retraining,Real CE oversampling,mel_precision,-0.056161490248510734,-0.14192029240430565,0.032123194507780096,0.1142,5000
cRT classifier retraining,Real CE oversampling,mel_recall,0.04584223279713876,-0.025645994832041323,0.12293192652017207,0.9002,5000
cRT classifier retraining,Real CE oversampling,mel_f1,-0.027344232529416,-0.09970178367710963,0.04947081751636902,0.2336,5000
