method,baseline,metric,mean_difference,sd_difference,ci95_low_seed_t,ci95_high_seed_t,wins,exact_sign_flip_p_two_sided,differences_by_seed
Synthetic + DINO,Source-matched replay,macro_f1,-0.00021029970577994087,0.0436071358148842,-0.10853643028360982,0.10811583087204993,1,1.0,"{""42"": -0.04259817868796845, ""43"": 0.044521547095040526, ""44"": -0.0025542675244119017}"
Synthetic + DINO,Source-matched replay,balanced_accuracy,0.003447699509114647,0.01869427721668402,-0.04299145951818964,0.04988685853641893,2,0.75,"{""42"": 0.006458159478853753, ""43"": 0.02045405640198683, ""44"": -0.016569117353496643}"
Synthetic + DINO,Source-matched replay,mcc,-0.005628762143228198,0.06607340903007333,-0.16976420925670413,0.15850668497024775,2,1.0,"{""42"": -0.0762334307405571, ""43"": 0.05471216157360026, ""44"": 0.004634982737272253}"
Synthetic + DINO,Source-matched replay,ece,-0.011636931372395881,0.03683541667657368,-0.10314117906557561,0.07986731632078385,1,0.75,"{""42"": -0.0018047934062500326, ""43"": 0.01928475514062508, ""44"": -0.05239075585156269}"
Synthetic + DINO,Source-matched replay,worst_class_recall,0.060447885447885465,0.14433308801415434,-0.2980953815370117,0.4189911524327827,2,0.5,"{""42"": 0.16123876123876124, ""43"": 0.125, ""44"": -0.10489510489510484}"
Synthetic + DINO,Source-matched replay,auroc_ovr_macro,-0.0014646207040516224,0.007310871157358789,-0.019625831451569313,0.01669659004346607,1,0.75,"{""42"": -0.00314001491013316, ""43"": 0.006538523193863277, ""44"": -0.007792370395884984}"
Synthetic + DINO,Source-matched replay,auprc_ovr_macro,-0.018411651702409253,0.04026548847119862,-0.11843667009452233,0.08161336668970381,1,0.5,"{""42"": -0.04691773474384786, ""43"": 0.027651167938413046, ""44"": -0.03596838830179294}"
Synthetic + DINO,Source-matched replay,mel_precision,-0.016466504317004676,0.07213287067295215,-0.19565448861027396,0.16272147997626463,1,0.75,"{""42"": -0.09302325581395349, ""43"": -0.006603773584905659, ""44"": 0.05022751644784512}"
Synthetic + DINO,Source-matched replay,mel_recall,0.04195804195804196,0.14348450719358868,-0.3144772334090461,0.39839331732513006,2,0.75,"{""42"": 0.18181818181818177, ""43"": 0.04895104895104896, ""44"": -0.10489510489510484}"
Synthetic + DINO,Source-matched replay,mel_f1,-0.0056287089370876675,0.012207070318075847,-0.03595275266383219,0.024695334789656857,1,0.5,"{""42"": -0.016743158252592316, ""43"": 0.007436133722418414, ""44"": -0.007579102281089101}"
Synthetic + DINO,Source-matched replay,mel_auroc,0.008048825990778496,0.018707716413431524,-0.038423717851981475,0.05452136983353847,2,0.75,"{""42"": 0.02620071221654341, ""43"": 0.009114895658431266, ""44"": -0.011169129902639185}"
Synthetic + DINO,Source-matched replay,mel_auprc,0.008289694955737373,0.023970893863524283,-0.051257306474269945,0.06783669638574469,2,0.75,"{""42"": 0.02693545228112637, ""43"": 0.01668278516122429, ""44"": -0.01874915257513854}"
Synthetic + DINO,Real CE oversampling,macro_f1,-0.029735803165134023,0.02377423924608322,-0.08879428744377221,0.02932268111350416,0,0.25,"{""42"": -0.05702292875868831, ""43"": -0.018694937884627172, ""44"": -0.013489542852086589}"
Synthetic + DINO,Real CE oversampling,balanced_accuracy,-0.017184842551998813,0.008616648501531427,-0.03858978404328474,0.004220098939287115,0,0.25,"{""42"": -0.024365780340413257, ""43"": -0.007630127623452054, ""44"": -0.01955861969213113}"
Synthetic + DINO,Real CE oversampling,mcc,-0.045310274158815944,0.04314262487133345,-0.15248249558426497,0.06186194726663309,1,0.5,"{""42"": -0.07462904612278809, ""43"": -0.06553058554767943, ""44"": 0.004228809194019689}"
Synthetic + DINO,Real CE oversampling,ece,-0.00094390966406252,0.04741832989617954,-0.11873757118592049,0.11684975185779545,1,1.0,"{""42"": -0.004427696601562642, ""43"": 0.04812023471875007, ""44"": -0.04652426710937499}"
Synthetic + DINO,Real CE oversampling,worst_class_recall,-0.02405094905094905,0.09473809838244839,-0.2593934319793856,0.2112915338774875,1,1.0,"{""42"": 0.056343656343656345, ""43"": 0.0, ""44"": -0.1284965034965035}"
Synthetic + DINO,Real CE oversampling,auroc_ovr_macro,-0.012472384895965102,0.008672004314826723,-0.03401483785062079,0.009070068058690582,0,0.25,"{""42"": -0.0043881584652598615, ""43"": -0.011397113906551737, ""44"": -0.021631882316083706}"
Synthetic + DINO,Real CE oversampling,auprc_ovr_macro,-0.04548674950211969,0.01712394700333241,-0.08802499202658465,-0.0029485069776547454,0,0.25,"{""42"": -0.04479734685395631, ""43"": -0.02871791513177324, ""44"": -0.06294498652062952}"
Synthetic + DINO,Real CE oversampling,mel_precision,-0.06270310294644703,0.12139755737604667,-0.3642713533349219,0.2388651474420278,1,0.5,"{""42"": -0.11899728178797947, ""43"": -0.14573420836751438, ""44"": 0.07662218131615278}"
Synthetic + DINO,Real CE oversampling,mel_recall,-0.018648018648018665,0.11064283716835259,-0.29350006298956843,0.25620402569353107,2,1.0,"{""42"": 0.07692307692307687, ""43"": 0.006993006993006978, ""44"": -0.13986013986013984}"
Synthetic + DINO,Real CE oversampling,mel_f1,-0.05831740507208322,0.05483137247188656,-0.1945260852148376,0.07789127507067117,1,0.5,"{""42"": -0.072904282581702, ""43"": -0.10438028422378132, ""44"": 0.002332351589233672}"
Synthetic + DINO,Real CE oversampling,mel_auroc,-0.018920686466860626,0.03617204128896493,-0.1087770183426549,0.07093564540893364,1,0.5,"{""42"": 0.022043040512697565, ""43"": -0.03233881334145183, ""44"": -0.04646628657182761}"
Synthetic + DINO,Real CE oversampling,mel_auprc,-0.04669649449531473,0.04927516936833697,-0.1691028009745684,0.07570981198393892,1,0.5,"{""42"": 0.009425262787522093, ""43"": -0.08286931408160314, ""44"": -0.06664543219186314}"
Synthetic + DINO,Real CE undersampling,macro_f1,0.12974250437516877,0.045391357250481976,0.01698412204311206,0.24250088670722547,3,0.25,"{""42"": 0.17196851086002551, ""43"": 0.08173900847647786, ""44"": 0.13551999378900292}"
Synthetic + DINO,Real CE undersampling,balanced_accuracy,0.06841690982211675,0.02370543102029658,0.009529354652031669,0.12730446499220183,3,0.25,"{""42"": 0.08082571633973501, ""43"": 0.04108282127307494, ""44"": 0.0833421918535403}"
Synthetic + DINO,Real CE undersampling,mcc,0.14543024894966522,0.02470340677008724,0.08406358458414356,0.20679691331518688,3,0.25,"{""42"": 0.17234095564356178, ""43"": 0.1237822949793071, ""44"": 0.1401674962261268}"
Synthetic + DINO,Real CE undersampling,ece,0.030231151291666605,0.055511610805819726,-0.1076673345493684,0.16812963713270163,2,0.5,"{""42"": 0.040818263601562446, ""43"": -0.029811594117187534, ""44"": 0.0796867843906249}"
Synthetic + DINO,Real CE undersampling,worst_class_recall,0.09851184640904266,0.08963488926829273,-0.12415356230812892,0.32117725512621426,2,0.5,"{""42"": 0.16468624833110812, ""43"": 0.13434579439252337, ""44"": -0.003496503496503489}"
Synthetic + DINO,Real CE undersampling,auroc_ovr_macro,0.021247377879315743,0.024255442334192034,-0.03900648113748945,0.08150123689612093,2,0.5,"{""42"": 0.038289542110903185, ""43"": -0.006522079792742885, ""44"": 0.03197467131978693}"
Synthetic + DINO,Real CE undersampling,auprc_ovr_macro,0.08114480045818251,0.06867860822669485,-0.0894623202261624,0.2517519211425274,3,0.25,"{""42"": 0.1149385713231258, ""43"": 0.0021171093331913138, ""44"": 0.12637872071823042}"
Synthetic + DINO,Real CE undersampling,mel_precision,0.11738435842570388,0.023539864980245784,0.05890809209948905,0.17586062475191871,3,0.25,"{""42"": 0.09426130948669759, ""43"": 0.11657176882140596, ""44"": 0.1413199969690081}"
Synthetic + DINO,Real CE undersampling,mel_recall,-0.04195804195804196,0.12252738089465193,-0.34633292955667183,0.26241684564058787,1,0.75,"{""42"": 0.07692307692307687, ""43"": -0.1678321678321678, ""44"": -0.03496503496503495}"
Synthetic + DINO,Real CE undersampling,mel_f1,0.09359786554496557,0.011896017412469241,0.06404652007137836,0.12314921101855279,3,0.25,"{""42"": 0.10611774565262921, ""43"": 0.09223227752639518, ""44"": 0.08244357345587233}"
Synthetic + DINO,Real CE undersampling,mel_auroc,0.04961529235935569,0.05535158393032973,-0.087885664685386,0.18711624940409738,2,0.5,"{""42"": 0.10615593729050199, ""43"": -0.004465191800284152, ""44"": 0.04715513158784923}"
Synthetic + DINO,Real CE undersampling,mel_auprc,0.09711459297014935,0.10478390339204292,-0.1631830530272021,0.3574122389675008,2,0.5,"{""42"": 0.19228556727414442, ""43"": -0.015174299405949165, ""44"": 0.1142325110422528}"
Synthetic + DINO,Real Balanced Softmax,macro_f1,-0.012883955787350132,0.019904398166045854,-0.06232922190070601,0.03656131032600574,1,0.5,"{""42"": -0.009165316907499998, ""43"": 0.004898869767949732, ""44"": -0.03438542022250013}"
Synthetic + DINO,Real Balanced Softmax,balanced_accuracy,-0.008771869602977747,0.025790480754362403,-0.07283897544826655,0.05529523624231105,2,1.0,"{""42"": 0.008992033407921207, ""43"": 0.003045978646779801, ""44"": -0.03835362086363425}"
Synthetic + DINO,Real Balanced Softmax,mcc,-0.03237738956138599,0.008839752519772192,-0.05433655215801997,-0.010418226964752014,0,0.25,"{""42"": -0.03448108157290941, ""43"": -0.022675567570032862, ""44"": -0.0399755195412157}"
Synthetic + DINO,Real Balanced Softmax,ece,-0.028426452507812523,0.011251363151367249,-0.056376388020375576,-0.0004765169952494694,0,0.25,"{""42"": -0.026566863007812552, ""43"": -0.018220735687500073, ""44"": -0.040491758828124946}"
Synthetic + DINO,Real Balanced Softmax,worst_class_recall,0.0001332001332001176,0.07712296339234517,-0.1914508616692905,0.19171726193569075,1,1.0,"{""42"": 0.07732267732267728, ""43"": 0.0, ""44"": -0.07692307692307693}"
Synthetic + DINO,Real Balanced Softmax,auroc_ovr_macro,-0.007139224474209227,0.0031440004179200485,-0.014949354478026432,0.0006709055296079776,0,0.25,"{""42"": -0.003602598932346268, ""43"": -0.00819764397121614, ""44"": -0.009617430519065273}"
Synthetic + DINO,Real Balanced Softmax,auprc_ovr_macro,-0.034406135801289005,0.016375257210102214,-0.07508452977601132,0.006272258173433305,0,0.25,"{""42"": -0.04186396416091154, ""43"": -0.015629476082168137, ""44"": -0.04572496716078733}"
Synthetic + DINO,Real Balanced Softmax,mel_precision,-0.03475533194483001,0.060732682483425,-0.18562367883579511,0.11611301494613507,1,0.5,"{""42"": -0.09302325581395349, ""43"": -0.03941627358490568, ""44"": 0.028173533564369135}"
Synthetic + DINO,Real Balanced Softmax,mel_recall,-0.00932400932400936,0.09390786516775607,-0.24260407861430655,0.2239560599662878,1,1.0,"{""42"": 0.0979020979020978, ""43"": -0.04895104895104896, ""44"": -0.07692307692307693}"
Synthetic + DINO,Real Balanced Softmax,mel_f1,-0.035553997657030066,0.01908341450549716,-0.08295982729851137,0.011851831984451236,0,0.25,"{""42"": -0.04793521845544979, ""43"": -0.045149638802889525, ""44"": -0.013577135712750876}"
Synthetic + DINO,Real Balanced Softmax,mel_auroc,-0.0015786031617166518,0.002820965727229011,-0.00858627050819459,0.005429064184761287,1,0.5,"{""42"": -0.0020419334403503075, ""43"": -0.004139220498059593, ""44"": 0.0014453444532599447}"
Synthetic + DINO,Real Balanced Softmax,mel_auprc,-0.004616956260607559,0.009975769310789535,-0.029398141008954343,0.020164228487739227,1,0.5,"{""42"": -0.011079308855245995, ""43"": -0.009643774426172036, ""44"": 0.006872214499595353}"
Source-matched replay,Real CE oversampling,macro_f1,-0.02952550345935408,0.029229365120494368,-0.10213527164479405,0.0430842647260859,0,0.25,"{""42"": -0.01442475007071986, ""43"": -0.0632164849796677, ""44"": -0.010935275327674687}"
Source-matched replay,Real CE oversampling,balanced_accuracy,-0.020632542061113462,0.015340606358263089,-0.05874072083631944,0.01747563671409252,0,0.25,"{""42"": -0.03082393981926701, ""43"": -0.028084184025438885, ""44"": -0.0029895023386344866}"
Source-matched replay,Real CE oversampling,mcc,-0.03968151201558775,0.06977531825327378,-0.21301301143577833,0.13364998740460282,1,0.75,"{""42"": 0.0016043846177690169, ""43"": -0.12024274712127969, ""44"": -0.0004061735432525637}"
Source-matched replay,Real CE oversampling,ece,0.010693021708333361,0.01627510451686861,-0.029736579184197073,0.051122622600863796,2,0.5,"{""42"": -0.002622903195312609, ""43"": 0.02883547957812499, ""44"": 0.005866488742187703}"
