experiment,method,seed,class,support,auroc,auprc
stage8_real_ce_natural_384,Real CE natural,42,akiec,42,0.9656127394414955,0.7622027770040283
stage8_real_ce_natural_384,Real CE natural,42,bcc,65,0.9940234251345362,0.9102979865128631
stage8_real_ce_natural_384,Real CE natural,42,bkl,140,0.9581390977443609,0.8064368427335235
stage8_real_ce_natural_384,Real CE natural,42,df,16,0.9891712816455696,0.6375721889943557
stage8_real_ce_natural_384,Real CE natural,42,mel,143,0.8434968725206192,0.5249983623010375
stage8_real_ce_natural_384,Real CE natural,42,nv,856,0.9027053760359725,0.9316590423953011
stage8_real_ce_natural_384,Real CE natural,42,vasc,18,0.9996918471561895,0.9830246913580247
stage8_real_ce_natural_384,Real CE natural,43,akiec,42,0.9762674051850142,0.8118679262597026
stage8_real_ce_natural_384,Real CE natural,43,bcc,65,0.9899525166191833,0.8507190874520499
stage8_real_ce_natural_384,Real CE natural,43,bkl,140,0.947872807017544,0.7853397029915554
stage8_real_ce_natural_384,Real CE natural,43,df,16,0.992731408227848,0.815756106321839
stage8_real_ce_natural_384,Real CE natural,43,mel,143,0.8184585862686127,0.5716933587107036
stage8_real_ce_natural_384,Real CE natural,43,nv,856,0.9008345640098748,0.924057369199307
stage8_real_ce_natural_384,Real CE natural,43,vasc,18,0.9978429300933263,0.896720945805614
stage8_real_ce_natural_384,Real CE natural,44,akiec,42,0.9702861758596815,0.7650342673680836
stage8_real_ce_natural_384,Real CE natural,44,bcc,65,0.9927065527065528,0.872045006412829
stage8_real_ce_natural_384,Real CE natural,44,bkl,140,0.9382268170426066,0.7923795003992923
stage8_real_ce_natural_384,Real CE natural,44,df,16,0.9939181170886077,0.7110226651409551
stage8_real_ce_natural_384,Real CE natural,44,mel,143,0.8061331808033655,0.5757054817928212
stage8_real_ce_natural_384,Real CE natural,44,nv,856,0.9059524334332568,0.9279875072030395
stage8_real_ce_natural_384,Real CE natural,44,vasc,18,0.9981510829371368,0.9445132668403109
stage8_real_ce_weighted_384,Real CE oversampling,42,akiec,42,0.9777867528271406,0.8417087944522588
stage8_real_ce_weighted_384,Real CE oversampling,42,bcc,65,0.9938081671415004,0.8850246436349074
stage8_real_ce_weighted_384,Real CE oversampling,42,bkl,140,0.9536998746867168,0.7935063469645488
